Rank,Title,Employees,Sector,Industry,Hqlocation,Hqcity,Hqtel,Ceo,Revenues,Profits,Assets,Totshequity
377,Mosaic,8700,Chemicals,Chemicals,"Plymouth, MN",Plymouth,763-577-2700,James C. O'Rourke,7163,297.8,16841,9585
378,Alliance Data Systems,17000,Business Services,Financial Data Services,"Plano, TX",Plano,214-494-3000,Edward J. Heffernan,7138,515.8,25514,1658
379,Computer Sciences,59000,Technology,Information Technology Services,"Tysons, VA",Tysons,703-876-1000,J. Michael Lawrie,7106,251,7736,2025
380,Huntington Ingalls Industries,37000,Aerospace & Defense,Aerospace and Defense,"Newport News, VA",Newport News,757-380-2000,C. Michael Petters,7068,573,6352,1653
381,Leidos Holdings,32000,Technology,Information Technology Services,"Reston, VA",Reston,571-526-6000,Roger A. Krone,7043,244,9132,3135
382,Erie Insurance Group,4988,Financials,Insurance: Property and Casualty (Mutual),"Erie, PA",Erie,814-870-2000,Timothy G. NeCastro,7016,741.9,18417,8528
383,Tesla,30025,Motor Vehicles & Parts,Motor Vehicles and Parts,"Palo Alto, CA",Palo Alto,650-681-5000,Elon Musk,7000,-674.9,22664,4753
384,Ascena Retail Group,41000,Retailing,Specialty Retailers: Apparel,"Mahwah, NJ",Mahwah,551-777-6700,David R. Jaffe,6995,-11.9,5506,1863
385,Darden Restaurants,150942,"Hotels, Restaurants & Leisure",Food Services,"Orlando, FL",Orlando,407-245-4000,Eugene I. Lee Jr.,6934,375,4583,1952
386,Harman International Industries,26000,Industrials,"Electronics, Electrical Equipment","Stamford, CT",Stamford,203-328-3500,Dinesh C. Paliwal,6912,361.7,6054,2453
387,Nvidia,10299,Technology,Semiconductors and Other Electronic Components,"Santa Clara, CA",Santa Clara,408-486-2000,Jen-Hsun Huang,6910,1666,9841,5762
388,R.R. Donnelley & Sons,44360,Media,"Publishing, Printing","Chicago, IL",Chicago,312-326-8000,Daniel L. Knotts,6896,-495.9,4285,-106
389,Fifth Third Bancorp,17844,Financials,Commercial Banks,"Cincinnati, OH",Cincinnati,800-972-3030,Greg D. Carmichael,6889,1564,142177,16205
390,Quintiles IMS Holdings,50000,Health Care,Health Care: Pharmacy and Other Services,"Durham, NC",Durham,919-998-2000,Ari Bousbib,6878,115,21208,8633
391,Jones Lang LaSalle,77300,Financials,Real Estate,"Chicago, IL",Chicago,312-782-5800,Christian Ulbrich,6804,318.2,7629,2790
392,Dover,29000,Industrials,Industrial Machinery,"Downers Grove, IL",Downers Grove,630-541-1540,Robert A. Livingston,6794,508.9,10116,3800
393,Spirit AeroSystems Holdings,14400,Aerospace & Defense,Aerospace and Defense,"Wichita, KS",Wichita,316-526-9000,Thomas C. Gentile III,6793,469.7,5405,1928
394,Ryder System,34500,Transportation,"Trucking, Truck Leasing","Miami, FL",Miami,305-500-3726,Robert E. Sanchez,6787,262.5,10903,2052
395,A-Mark Precious Metals,83,Materials,Miscellaneous,"Santa Monica, CA",Santa Monica,310-587-1477,Gregory N. Roberts,6784,9.3,437,63
396,Tractor Supply,19500,Retailing,Specialty Retailers: Other,"Brentwood, TN",Brentwood,615-440-4000,Gregory A. Sandfort,6780,437.1,2675,1453
397,Sealed Air,23000,Materials,"Packaging, Containers","Charlotte, NC",Charlotte,980-221-3235,Jerome A. Peribere,6778,486.4,7389,610
398,Auto-Owners Insurance,4737,Financials,Insurance: Property and Casualty (Mutual),"Lansing, MI",Lansing,517-323-1200,Jeffrey F. Harrold,6775,706.3,21571,9690
399,Yum China Holdings,420000,"Hotels, Restaurants & Leisure",Food Services,"Plano, TX",Plano,972-338-7530,Muktesh Pant,6752,502,3727,2377
400,Calpine,2372,Energy,Energy,"Houston, TX",Houston,713-830-2000,John B. Hill,6716,92,19317,3268
401,Owens-Illinois,27000,Materials,"Packaging, Containers","Perrysburg, OH",Perrysburg,567-336-5000,Andres A. Lopez,6702,209,9135,254
402,Targa Resources,1970,Energy,Pipelines,"Houston, TX",Houston,713-584-1000,Joe Bob Perkins,6691,-187.3,12871,5439
403,Jones Financial (Edward Jones),43000,Financials,Securities,"Des Peres, MO",Des Peres,314-515-2000,James D. Weddle,6632,746,19424,2634
403,JetBlue Airways,15986,Transportation,Airlines,"Long Island City, NY",Long Island City,718-286-7900,Robin Hayes,6632,759,9487,4013
405,Franklin Resources,9059,Financials,Securities,"San Mateo, CA",San Mateo,650-312-2000,Gregory E. Johnson,6618,1726.7,16099,11936
406,Activision Blizzard,9500,Technology,Computer Software,"Santa Monica, CA",Santa Monica,310-255-2000,Robert A. Kotick,6608,966,17452,9119
407,J.B. Hunt Transport Services,22190,Transportation,"Trucking, Truck Leasing","Lowell, AR",Lowell,479-820-0000,John N. Roberts III,6556,432.1,3829,1414
408,Constellation Brands,9000,"Food, Beverages & Tobacco",Beverages,"Victor, NY",Victor,585-678-7100,Robert S. Sands,6548,1054.9,16965,6560
409,NCR,33500,Technology,"Computers, Office Equipment","Duluth, GA",Duluth,937-445-5000,William R. Nuti,6543,270,7673,1542
410,Asbury Automotive Group,7900,Retailing,"Automotive Retailing, Services","Duluth, GA",Duluth,770-418-8200,Craig T. Monaghan,6528,167.2,2336,280
411,American Financial Group,7600,Financials,Insurance: Property and Casualty (Stock),"Cincinnati, OH",Cincinnati,513-579-2121,"Carl H. Lindner lll, S. Craig Lindner",6498,649,55072,4916
412,Discovery Communications,7000,Media,Entertainment,"Silver Spring, MD",Silver Spring,240-662-2000,David M. Zaslav,6497,1194,15758,5167
413,Berry Global Group,21000,Materials,"Packaging, Containers","Evansville, IN",Evansville,812-424-2904,Thomas E. Salmon,6489,236,7653,218
414,Sanmina,40178,Technology,Semiconductors and Other Electronic Components,"San Jose, CA",San Jose,408-964-3500,Jure Sola,6481,187.8,3625,1610
415,CalAtlantic Group,3055,Engineering & Construction,Homebuilders,"Arlington, VA",Arlington,240-532-3806,Larry T. Nicholson,6477,484.7,8709,4208
416,Dr Pepper Snapple Group,20000,"Food, Beverages & Tobacco",Beverages,"Plano, TX",Plano,972-673-7000,Larry D. Young,6440,847,9791,2134
417,Dillard’s,30800,Retailing,General Merchandisers,"Little Rock, AR",Little Rock,501-376-5200,William T. Dillard II,6418,169.2,3888,1717
418,HRG Group,16021,Household Products,Household and Personal Products,"New York, NY",New York,212-906-8555,Joseph S. Steinberg,6403,-198.8,35793,638
419,CMS Energy,7750,Energy,Utilities: Gas and Electric,"Jackson, MI",Jackson,517-788-0550,Patricia K. Poppe,6399,551,21622,4253
420,Graybar Electric,8500,Wholesalers,Wholesalers: Diversified,"St. Louis, MO",St. Louis,314-573-9200,Kathleen M. Mazzarella,6385,93.1,2099,728
421,Builders FirstSource,14000,Materials,"Building Materials, Glass","Dallas, TX",Dallas,214-880-3500,Floyd F. Sherman,6367,144.3,2910,310
422,Yum Brands,90000,"Hotels, Restaurants & Leisure",Food Services,"Louisville, KY",Louisville,502-874-8300,Greg Creed,6366,1619,5478,-5656
423,Casey’s General Stores,24724,Retailing,Specialty Retailers: Other,"Ankeny, IA",Ankeny,515-965-6100,Terry W. Handley,6304,226,2726,1084
424,Amphenol,62000,Technology,Network and Other Communications Equipment,"Wallingford, CT",Wallingford,203-265-8900,R. Adam Norwitt,6286,822.9,8499,3675
425,Oshkosh,13800,Industrials,Construction and Farm Machinery,"Oshkosh, WI",Oshkosh,920-235-9150,Wilson R. Jones,6279,216.4,4514,1977
426,iHeartMedia,18700,Media,Entertainment,"San Antonio, TX",San Antonio,210-822-2828,Robert W. Pittman,6274,-296.3,12862,-11021
427,TreeHouse Foods,16027,"Food, Beverages & Tobacco",Food Consumer Products,"Oak Brook, IL",Oak Brook,708-483-1300,Sam K. Reed,6175,-228.6,6546,2503
428,Alleghany,3420,Financials,Insurance: Property and Casualty (Stock),"New York, NY",New York,212-752-1356,Weston M. Hicks,6131,456.9,23757,7940
429,Expeditors International of Washington,16000,Transportation,Transportation and Logistics,"Seattle, WA",Seattle,206-674-3400,Jeffrey S. Musser,6098,430.8,2791,1845
430,Avery Dennison,25000,Materials,"Packaging, Containers","Glendale, CA",Glendale,626-304-2000,Mitchell R. Butier,6087,320.7,4396,926
431,Ameren,8629,Energy,Utilities: Gas and Electric,"St. Louis, MO",St. Louis,314-621-3222,Warner L. Baxter,6076,653,24699,7103
432,Hanesbrands,67800,Apparel,Apparel,"Winston-Salem, NC",Winston-Salem,336-519-8080,Gerald W. Evans Jr.,6063,539.4,6908,1224
433,Motorola Solutions,14000,Technology,Network and Other Communications Equipment,"Chicago, IL",Chicago,847-576-5000,Gregory Q. Brown,6038,560,8463,-964
434,St. Jude Medical,18000,Health Care,Medical Products and Equipment,"St. Paul, MN",St. Paul,651-756-2000,Miles D. White,6004,734,12578,4578
435,Harley-Davidson,6000,Transportation,Transportation Equipment,"Milwaukee, WI",Milwaukee,414-342-4680,Matthew S. Levatich,5997,692.2,9890,1920
436,Regions Financial,22166,Financials,Commercial Banks,"Birmingham, AL",Birmingham,800-734-4667,O.B. Grayson Hall Jr.,5967,1163,125968,16664
437,Intercontinental Exchange,5631,Financials,Securities,"Atlanta, GA",Atlanta,770-857-4700,Jeffrey C. Sprecher,5958,1422,82003,15717
438,Alaska Air Group,19112,Transportation,Airlines,"Seattle, WA",Seattle,206-392-5040,Bradley D. Tilden,5931,814,9962,2931
439,Old Republic International,8500,Financials,Insurance: Property and Casualty (Stock),"Chicago, IL",Chicago,312-346-8100,Aldo C. Zucaro,5901,466.9,18592,4472
440,Lam Research,7500,Technology,Semiconductors and Other Electronic Components,"Fremont, CA",Fremont,510-572-0200,Martin B. Anstice,5886,914,12272,5895
441,AK Steel Holding,8500,Materials,Metals,"West Chester, OH",West Chester,513-425-5000,Roger K. Newport,5883,-7.8,4036,-272
442,Rockwell Automation,22000,Industrials,"Electronics, Electrical Equipment","Milwaukee, WI",Milwaukee,414-382-2000,Blake D. Moret,5880,729.7,7101,1990
443,Adobe Systems,15706,Technology,Computer Software,"San Jose, CA",San Jose,408-536-6000,Shantanu Narayen,5854,1168.8,12707,7425
444,Avon Products,26400,Household Products,Household and Personal Products,"Rye, NY",Rye,914-935-2000,Sherilyn S. McCoy,5853,-107.6,3419,-848
445,Terex,18100,Industrials,Construction and Farm Machinery,"Westport, CT",Westport,203-222-7170,John L. Garrison Jr.,5841,-176.1,5007,1484.7
446,NVR,4900,Engineering & Construction,Homebuilders,"Reston, VA",Reston,703-956-4000,Paul C. Saville,5835,425.3,2644,1304
447,Dana,24900,Motor Vehicles & Parts,Motor Vehicles and Parts,"Maumee, OH",Maumee,419-887-3000,James K. Kamsickas,5826,640,4860,1157
448,Realogy Holdings,11800,Financials,Real Estate,"Madison, NJ",Madison,973-407-2000,Richard A. Smith,5810,213,7421,2464
449,American Tower,4507,Telecommunications,Telecommunications,"Boston, MA",Boston,617-375-7500,James D. Taiclet Jr.,5786,956.4,30879,6764
450,Packaging Corp. of America,14000,Materials,"Packaging, Containers","Lake Forest, IL",Lake Forest,847-482-3000,Mark W. Kowlzan,5779,449.6,5777,1760
451,Citizens Financial Group,17600,Financials,Commercial Banks,"Providence, RI",Providence,401-456-7000,Bruce W. Van Saun,5763,1045,149520,19747
452,United Rentals,12500,Business Services,Miscellaneous,"Stamford, CT",Stamford,203-622-3131,Michael J. Kneeland,5762,566,11988,1648
453,Clorox,8000,Household Products,Household and Personal Products,"Oakland, CA",Oakland,510-271-7000,Benno O. Dorer,5761,648,4518,297
454,Genesis Healthcare,82000,Health Care,Health Care: Medical Facilities,"Kennett Square, PA",Kennett Square,610-444-6350,George V. Hager Jr.,5733,-64,5779,-490
455,M&T Bank Corp.,16487,Financials,Commercial Banks,"Buffalo, NY",Buffalo,716-635-4000,Robert G. Wilmers,5722,1315.1,123449,16487
456,Ingredion,11000,"Food, Beverages & Tobacco",Food Production,"Westchester, IL",Westchester,708-551-2600,Ilene S. Gordon,5704,484.9,5782,2565
457,UGI,13105,Energy,Energy,"King of Prussia, PA",King of Prussia,610-337-1000,John L. Walsh,5686,364.7,10847,2851
458,Owens Corning,16000,Materials,"Building Materials, Glass","Toledo, OH",Toledo,419-248-8000,Michael H. Thaman,5677,393,7741,3849
459,S&P Global,20000,Business Services,Financial Data Services,"New York, NY",New York,212-438-1000,Douglas L. Peterson,5661,2106,8669,650
460,Markel,10900,Financials,Insurance: Property and Casualty (Stock),"Glen Allen, VA",Glen Allen,804-747-0136,"Thomas S. Gayner, Richard R. Whitt III",5612,455.7,25875,8461
461,Wyndham Worldwide,37800,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","Parsippany, NJ",Parsippany,973-753-6000,Stephen P. Holmes,5599,611,9819,714
462,Arthur J. Gallagher,24790,Financials,Diversified Financials,"Itasca, IL",Itasca,630-773-3800,J. Patrick Gallagher Jr.,5595,414.4,11490,3597
463,Burlington Stores,40000,Retailing,Specialty Retailers: Apparel,"Burlington, NJ",Burlington,609-387-7800,Thomas A. Kingsbury,5591,215.9,2575,-50
464,First American Financial,19531,Financials,Insurance: Property and Casualty (Stock),"Santa Ana, CA",Santa Ana,714-250-3000,Dennis J. Gilmore,5576,343,8832,3008
465,Symantec,11000,Technology,Computer Software,"Mountain View, CA",Mountain View,650-527-8000,Gregory S. Clark,5568,2488,11767,3676
466,Patterson,7000,Wholesalers,Wholesalers: Health Care,"St. Paul, MN",St. Paul,651-686-1600,James W. Wiltz,5555,187.2,3521,1442
467,Olin,6400,Chemicals,Chemicals,"Clayton, MO",Clayton,314-480-1400,John E. Fischer,5551,-3.9,8763,2273
468,NetApp,12030,Technology,Computer Peripherals,"Sunnyvale, CA",Sunnyvale,408-822-6000,George Kurian,5546,229,10037,2881
469,Raymond James Financial,11900,Financials,Securities,"St. Petersburg, FL",St. Petersburg,727-567-1000,Paul C. Reilly,5520,529.4,31594,4914
470,TravelCenters of America,20259,Retailing,Specialty Retailers: Other,"Westlake, OH",Westlake,440-808-9100,Thomas M. O'Brien,5511,-2,1660,552
471,Fiserv,23000,Business Services,Financial Data Services,"Brookfield, WI",Brookfield,262-879-5000,Jeffery W. Yabuki,5505,930,9743,2541
472,Host Hotels & Resorts,220,Financials,Real Estate,"Bethesda, MD",Bethesda,240-744-1000,James F. Risoleo,5488,762,11408,6994
473,Insight Enterprises,5930,Wholesalers,Wholesalers: Electronics and Office Equipment,"Tempe, AZ",Tempe,480-333-3000,Kenneth T. Lamneck,5486,84.7,2219,713
474,Mattel,32000,Household Products,"Toys, Sporting Goods","El Segundo, CA",El Segundo,310-252-2000,Margaret H. Georgiadis,5457,318,6494,2408
475,AmTrust Financial Services,8000,Financials,Insurance: Property and Casualty (Stock),"New York, NY",New York,212-220-7120,Barry D. Zyskind,5451,411,22615,3269
476,Cincinnati Financial,4754,Financials,Insurance: Property and Casualty (Stock),"Fairfield, OH",Fairfield,513-870-2000,Steven J. Johnston,5449,590.7,20386,7060
477,Simon Property Group,4050,Financials,Real Estate,"Indianapolis, IN",Indianapolis,317-636-1600,David E. Simon,5435,1838.9,31104,4310
478,Western Union,10700,Business Services,Financial Data Services,"Englewood, CO",Englewood,866-405-5012,Hikmet Ersek,5423,253.2,9420,902
479,KeyCorp,15700,Financials,Commercial Banks,"Cleveland, OH",Cleveland,216-689-3000,Beth E. Mooney,5422,791,136453,15240
480,Delek US Holdings,1326,Energy,Petroleum Refining,"Brentwood, TN",Brentwood,615-771-6701,Ezra Uzi Yemin,5414,-153.7,2985,992
481,Booz Allen Hamilton Holding,22600,Technology,Information Technology Services,"McLean, VA",McLean,703-902-5000,Horacio D. Rozanski,5406,294.1,3010,409
482,Chemours,7000,Chemicals,Chemicals,"Wilmington, DE",Wilmington,302-773-1000,Mark P. Vergnano,5400,7,6060,100
483,Western & Southern Financial Group,2178,Financials,"Insurance: Life, Health (Mutual)","Cincinnati, OH",Cincinnati,513-629-1800,John F. Barrett,5398,241.2,43831,5104
484,Celanese,7293,Chemicals,Chemicals,"Irving, TX",Irving,972-443-4000,Mark C. Rohr,5389,900,8357,2588
485,Windstream Holdings,11870,Telecommunications,Telecommunications,"Little Rock, AR",Little Rock,501-748-7000,Anthony W. Thomas,5387,-383.5,11770,170
486,Seaboard,11781,"Food, Beverages & Tobacco",Food Production,"Merriam, KS",Merriam,913-676-8800,Steven J. Bresky,5379,312,4755,3162
487,Essendant,6600,Wholesalers,Wholesalers: Electronics and Office Equipment,"Deerfield, IL",Deerfield,847-627-7000,Robert B. Aiken Jr.,5369,63.9,2164,781
488,Apache,3727,Energy,"Mining, Crude-Oil Production","Houston, TX",Houston,713-296-6000,John J. Christmann IV,5354,-1405,22519,6238
489,Airgas,17000,Wholesalers,Wholesalers: Diversified,"Radnor, PA",Radnor,610-687-5253,John J. Christmann IV,5314,337.5,6135,2045
490,Kelly Services,7500,Business Services,Temporary Help,"Troy, MI",Troy,248-362-4444,George S. Corona,5277,120.8,2028,1012
491,Liberty Media,3626,Media,Entertainment,"Englewood, CO",Englewood,720-875-5400,Gregory B. Maffei,5276,680,31377,11756
492,Rockwell Collins,19000,Aerospace & Defense,Aerospace and Defense,"Cedar Rapids, IA",Cedar Rapids,319-295-1000,Robert K. Ortberg,5259,728,7707,2078
493,Robert Half International,16400,Business Services,Temporary Help,"Menlo Park, CA",Menlo Park,650-234-6000,Harold M. Messmer Jr.,5250,343.4,1778,1087
494,CH2M Hill,20000,Engineering & Construction,"Engineering, Construction","Englewood, CO",Englewood,303-771-0900,Jacqueline C. Hinman,5236,15,2671,547
495,Big Lots,23150,Retailing,Specialty Retailers: Other,"Columbus, OH",Columbus,614-278-6800,David J. Campisi,5200,152.8,1608,651
496,Michaels Cos.,31000,Retailing,Specialty Retailers: Other,"Irving, TX",Irving,972-409-1300,Carl S. Rubin,5197,378.2,2148,-1698
497,Toll Brothers,4200,Engineering & Construction,Homebuilders,"Horsham, PA",Horsham,215-938-8000,Douglas C. Yearley Jr.,5170,382.1,9737,4229
498,Yahoo,8500,Technology,Internet Services and Retailing,"Sunnyvale, CA",Sunnyvale,408-349-3300,Marissa A. Mayer,5169,-214.3,48083,31049
499,Vistra Energy,4431,Energy,Energy,"Dallas, TX",Dallas,214-812-4600,Curtis A. Morgan,5164,-214.3,15167,6597
500,ABM Industries,110000,Business Services,Diversified Outsourcing Services,"New York, NY",New York,212-297-0200,Scott B. Salmirs,5145,57.2,2281,974
